Consequent,Antecedent,Supp,Conf,Lift
N_P,"('low_SL', 'insufficient_LE', 'N_WA')",0.12,0.99,1.01
N_WA,"('low_SL', 'insufficient_LE', 'N_P')",0.12,0.88,1.03
insufficient_LE,"('low_SL', 'N_WA', 'N_P')",0.12,1.0,3.86
N_WA,"('low_SL', 'insufficient_LE')",0.12,0.88,1.03
insufficient_LE,"('low_SL', 'N_WA')",0.12,1.0,3.86
N_P,"('low_SL', 'insufficient_LE')",0.14,0.99,1.01
insufficient_LE,"('low_SL', 'N_P')",0.14,1.0,3.86
insufficient_LE,"('low_SL',)",0.14,1.0,3.86
N_P,"('low_SL', 'N_WA')",0.12,0.99,1.01
N_WA,"('low_SL', 'N_P')",0.12,0.88,1.03
N_WA,"('low_SL',)",0.12,0.88,1.03
N_P,"('low_SL',)",0.14,0.99,1.01
N_P,"('Y_WA', 'N_L')",0.13,0.96,0.98
N_L,"('Y_WA', 'N_P')",0.13,0.92,1.21
N_L,"('Y_WA',)",0.13,0.92,1.21
N_P,"('Y_WA',)",0.14,0.96,0.99
N_P,"('2_D', 'N_L')",0.11,0.99,1.01
N_P,"('2_D', 'N_WA')",0.12,0.99,1.01
N_WA,"('2_D', 'N_P')",0.12,0.85,0.99
N_WA,"('2_D',)",0.13,0.85,0.99
N_P,"('2_D',)",0.15,0.99,1.01
N_P,"('sufficient_LE', 'medium_SL', 'N_L', 'N_WA')",0.11,0.97,0.99
N_WA,"('sufficient_LE', 'medium_SL', 'N_L', 'N_P')",0.11,0.83,0.98
N_L,"('sufficient_LE', 'medium_SL', 'N_WA', 'N_P')",0.11,0.86,1.13
medium_SL,"('sufficient_LE', 'N_L', 'N_WA', 'N_P')",0.11,1.0,2.65
N_WA,"('sufficient_LE', 'medium_SL', 'N_L')",0.11,0.83,0.97
N_L,"('sufficient_LE', 'medium_SL', 'N_WA')",0.11,0.86,1.13
medium_SL,"('sufficient_LE', 'N_L', 'N_WA')",0.11,1.0,2.65
N_P,"('sufficient_LE', 'medium_SL', 'N_L')",0.13,0.97,0.99
N_L,"('sufficient_LE', 'medium_SL', 'N_P')",0.13,0.87,1.15
medium_SL,"('sufficient_LE', 'N_L', 'N_P')",0.13,1.0,2.65
N_L,"('sufficient_LE', 'medium_SL')",0.13,0.88,1.15
medium_SL,"('sufficient_LE', 'N_L')",0.13,1.0,2.65
N_P,"('sufficient_LE', 'medium_SL', 'N_WA')",0.12,0.97,1.0
N_WA,"('sufficient_LE', 'medium_SL', 'N_P')",0.12,0.85,0.99
medium_SL,"('sufficient_LE', 'N_WA', 'N_P')",0.12,1.0,2.65
N_WA,"('sufficient_LE', 'medium_SL')",0.13,0.84,0.99
medium_SL,"('sufficient_LE', 'N_WA')",0.13,1.0,2.65
N_P,"('sufficient_LE', 'medium_SL')",0.15,0.97,0.99
medium_SL,"('sufficient_LE', 'N_P')",0.15,1.0,2.65
medium_SL,"('sufficient_LE',)",0.15,1.0,2.65
N_P,"('sufficient_LE', 'N_L', 'N_WA')",0.11,0.97,0.99
